State,Ann_Heat_Input_1996,Ann_Heat_Input_2016,Ann_CO2_Rate_1996,Ann_CO2_Rate_2016,CO2_Emissions_1996,CO2_Emissions_2016,CO2_Difference
Alaska,41659148.7,59433354.0,1179.21,926.0,2937571,2932683,-4888
Alabama,780743200.1,1310962923.0,1385.38,913.0,79723804,65211148,-14512656
Arkansas,316437828.6,561261411.0,1426.7,1116.0,31157441,33717770,2560329
Arizona,364103391.8,1047151854.0,1031.31,932.0,36548209,50682560,14134351
California,361310839.1,1681193081.0,409.98,453.0,23509205,44648567,21139362
Colorado,356912234.0,538764471.0,2152.59,1468.0,36563631,39953306,3389675
Connecticut,107896422.8,336859456.0,1146.32,498.0,9040895,9096160,55265
District of Columbia,759352.3,763191.0,1127.7,482.0,61916,18422,-43494
Delaware,95710061.5,64129816.0,2841.34,887.0,11538471,3874126,-7664345
Florida,1449576811.0,2068238494.0,1771.07,1024.0,130606561,121996344,-8610217
Georgia,703263632.9,1238569690.0,1455.26,1002.0,71848530,66567671,-5280859
Hawaii,67336135.6,102555757.0,1766.37,1522.0,5670226,7571577,1901351
Iowa,352797898.3,514371421.0,2176.12,998.0,36329830,27140015,-9189815
Idaho,6477493.1,136799676.0,59.69,189.0,373687,1477572,1103885
Illinois,848436342.8,1929227229.0,1187.07,811.0,85535962,76035677,-9500285
Indiana,1251466601.0,1009724428.0,2435.71,1813.0,133788634,91901515,-41887119
Kansas,391329652.7,498126040.0,1937.97,1196.0,38637861,28454163,-10183698
Kentucky,970797053.6,826925632.0,2253.77,1954.0,99659522,78439290,-21220232
Louisiana,527624965.2,875338035.0,1388.3,879.0,40707187,46949097,6241910
Massachusetts,239616490.2,285486654.0,1474.66,821.0,20467462,13121389,-7346073
Maryland,345827398.5,387480354.0,1500.61,1013.0,33334868,18819051,-14515817
Maine,8734959.2,100532885.0,178.74,337.0,697102,1939972,1242870
Michigan,728961037.3,1104407307.0,1557.55,1100.0,74614022,61658803,-12955219
Minnesota,361997607.9,594345617.0,1684.38,1013.0,35196624,30398579,-4798045
Missouri,645723231.0,775670749.0,1960.31,1688.0,66481320,66337989,-143331
Mississippi,248658163.7,518524261.0,1473.02,941.0,21239713,29576726,8337013
Montana,133171642.7,283859169.0,1078.51,1251.0,14041750,17378904,3337154
North Carolina,695145884.1,1226822459.0,1383.11,867.0,71082326,56716823,-14365503
North Dakota,340663932.0,388299253.0,2411.46,1664.0,37100022,31491915,-5608107
Nebraska,195495927.4,377775098.0,1512.42,1281.0,20014635,23828060,3813425
New Hampshire,47490427.9,195254724.0,616.94,311.0,4630341,2994227,-1636114
New Jersey,106520387.2,682329031.0,1125.02,558.0,11132472,21643003,10510531
New Mexico,348076005.6,328030013.0,2295.77,1573.0,34152497,25890070,-8262427
Nevada,219180028.2,308836855.0,2700.75,770.0,28846820,15101321,-13745499
New York,545475980.7,1249039942.0,917.8,464.0,48040539,31110393,-16930146
Ohio,1386002515.0,1143037873.0,2016.73,1466.0,144095488,87167528,-56927960
Oklahoma,508941181.3,732746391.0,1911.67,1044.0,45444821,41046732,-4398089
Oregon,51578101.4,540287112.0,160.0,306.0,3913962,9204524,5290562
Pennsylvania,1116737170.0,2057503422.0,1303.57,855.0,114076629,91988694,-22087935
Rhode Island,53635822.5,50414889.0,1909.12,871.0,3151117,2858424,-292693
South Carolina,321779728.5,976734317.0,836.13,629.0,31941441,30522786,-1418655
South Dakota,32359179.6,95968597.0,590.11,513.0,3222606,2640861,-581745
Tennessee,612185628.3,794625948.0,1414.64,992.0,62701834,39363688,-23338146
Texas,2608849209.0,3978078953.0,1631.57,1050.0,222124715,238211887,16087172
Utah,352539670.6,360920829.0,2215.75,1627.0,35699784,31029039,-4670745
Virginia,327104016.5,871562516.0,1167.73,814.0,33007593,37660633,4653040
Vermont,2327533.7,18199167.0,3.81,57.0,10316,54364,44048
Washington,106151804.5,1052800553.0,181.87,187.0,10213874,10658190,444316
Wisconsin,478574213.7,639866226.0,1872.52,1389.0,48370400,45115419,-3254981
West Virginia,846252068.4,760711075.0,2029.34,1976.0,85210230,75022431,-10187799
Wyoming,509465171.8,503881718.0,2573.4,2026.0,52563843,47269241,-5294602
